Date,Close(ACN),_Returns_ACN,,Close(S&P500),Returns_S&p,,,
8/26/2019,198.169998,0.014886194,,2926.459961,0.017854336,,,
9/2/2019,201.119995,-0.032319014,,2978.709961,0.009628306,,,
9/9/2019,194.619995,-0.007861469,,3007.389893,-0.00509406,,,
9/16/2019,193.089996,-0.008855927,,2992.070068,-0.010120094,,,
9/23/2019,191.380005,-0.00909189,,2961.790039,-0.003302067,,,
9/30/2019,189.639999,-0.024625596,,2952.01001,0.006185619,,,
10/7/2019,184.970001,0.011407261,,2970.27002,0.005363126,,,
10/14/2019,187.080002,-0.021434653,,2986.199951,0.012172694,,,
10/21/2019,183.070007,0.028131282,,3022.550049,0.014676304,,,
10/28/2019,188.220001,0.007863118,,3066.909912,0.008533073,,,
11/4/2019,189.699997,0.037480238,,3093.080078,0.00885198,,,
11/11/2019,196.809998,-0.000762126,,3120.459961,-0.00325911,,,
11/18/2019,196.660004,0.022882131,,3110.290039,0.009867228,,,
11/25/2019,201.160004,0.006909917,,3140.97998,0.001569552,,,
12/2/2019,202.550003,0.020291291,,3145.909912,0.007276158,,,
12/9/2019,206.660004,0.021484573,,3168.800049,0.016542515,,,
12/16/2019,211.100006,0.005305519,,3221.219971,0.005836313,,,
12/23/2019,212.220001,-0.011403251,,3240.02002,-0.001595645,,,
12/30/2019,209.800003,-0.010200186,,3234.850098,0.009428567,,,
1/6/2020,207.660004,0.007415935,,3265.350098,0.019682428,,,
1/13/2020,209.199997,-0.003011425,,3329.620117,-0.010256469,,,
1/20/2020,208.570007,-0.016109699,,3295.469971,-0.021226093,,,
1/27/2020,205.210007,0.031041347,,3225.52002,0.031681695,,,
2/3/2020,211.580002,0.003733779,,3327.709961,0.015761575,,,
2/10/2020,212.369995,-0.002260187,,3380.159912,-0.012546718,,,
2/17/2020,211.889999,-0.147718171,,3337.75,-0.114906757,,,
2/24/2020,180.589996,-0.010188804,,2954.219971,0.006143803,,,
3/2/2020,178.75,-0.068475552,,2972.370117,-0.087926499,,,
3/9/2020,166.509995,-0.099513504,,2711.02002,-0.149796053,,,
3/16/2020,149.940002,0.086301206,,2304.919922,0.102628316,,,
3/23/2020,162.880005,-0.065876785,,2541.469971,-0.020783275,,,
3/30/2020,152.149994,0.169372363,,2488.649902,0.121017491,,,
4/6/2020,177.919998,-0.015906037,,2789.820068,0.030374716,,,
4/13/2020,175.089996,0.002113262,,2874.560059,-0.01315682,,,
4/20/2020,175.460007,0.026387717,,2836.73999,-0.00212569,,,
4/27/2020,180.089996,0.047032052,,2830.709961,0.035005384,,,
5/4/2020,188.559998,-0.024819649,,2929.800049,-0.0225613,,,
5/11/2020,183.880005,0.053458787,,2863.699951,0.032038971,,,
5/18/2020,193.710007,0.040834173,,2955.449951,0.030066524,,,
5/25/2020,201.619995,0.034074051,,3044.310059,0.049147383,,,
6/1/2020,208.490005,-0.033095155,,3193.929932,-0.047784352,,,
6/8/2020,201.589996,-0.000198388,,3041.310059,0.018554481,,,
6/15/2020,201.550003,0.054180093,,3097.73999,-0.028630531,,,
6/22/2020,212.470001,0.015296277,,3009.050049,0.04019872,,,
6/29/2020,215.720001,0.021045772,,3130.01001,0.017581423,,,
7/6/2020,220.259995,0.007627381,,3185.040039,0.012461363,,,
7/13/2020,221.940002,-0.002252861,,3224.72998,-0.002821972,,,
7/20/2020,221.440002,0.015083079,,3215.629883,0.017256412,,,
7/27/2020,224.779999,0.030162822,,3271.120117,0.02450534,,,
8/3/2020,231.559998,-0.005657272,,3351.280029,0.006436367,,,
8/10/2020,230.25,0.031444104,,3372.850098,0.007207499,,,
8/17/2020,237.490005,0.023158869,,3397.159912,0.032630227,,,
8/24/2020,242.990005,-0.028478529,,3508.01001,-0.023104281,,,
8/31/2020,236.070007,-0.005506854,,3426.959961,-0.025092207,,,
9/7/2020,234.770004,0.006005831,,3340.969971,-0.006435257,,,
9/14/2020,236.179993,-0.091243918,,3319.469971,-0.006329327,,,
9/21/2020,214.630005,0.036201784,,3298.459961,0.015146451,,,
9/28/2020,222.399994,0.028282411,,3348.419922,0.038442004,,,
10/5/2020,228.690002,0.005946919,,3477.139893,0.001918291,,,
10/12/2020,230.050003,-0.001521434,,3483.810059,-0.005287362,,,
10/19/2020,229.699997,-0.055681294,,3465.389893,-0.056394789,,,
10/26/2020,216.910004,0.089345759,,3269.959961,0.073236365,,,
11/2/2020,236.289993,0.023234187,,3509.439941,0.021573232,,,
11/9/2020,241.779999,0.006865758,,3585.149902,-0.007701174,,,
11/16/2020,243.440002,0.027439997,,3557.540039,0.022715151,,,
